q,a1,a2,a3,a4,ca,isYear
Что из названного было характерно для политики СССР по отношению к странам так называемого социалистического лагеря?,военное присутствие,разрешение принять экономическую помощь по плану Маршалла,поддержка идеи многовариантности построения социализма,разрешение многопартийности в странах Центральной и Юго-Восточной Европы,1,0
Какой из названных художественных фильмов был обвинен в безыдейности?,«Большая жизнь» Л. Лукова,«Весна» Г. Александрова,«Кубанские казаки» И. Пырьева,«Чапаев» братьев Васильевых ,1,0
В постановлении ЦК ВКП (б) «О декадентских тенденциях в советской музыке» критике подверглись произведения,А. Александрова,И. Дунаевского,В. Мурадели,М. Блантера,3,0
"В Организацию Варшавского договора, созданную в 1955 г., вошли","США, СССР, Великобритания, Франция","СССР, Албания, Болгария, Венгрия, Польша, ГДР, Румыния, Чехословакия","США, Великобритания, Франция, Канада, Италия","СССР, Китай, Афганистан, Вьетнам, Монголия",2,0
Руководитель Госплана СССР,К. Ворошилов,Н. Вознесенский,Н. Булганин,Н. Хрущев,2,0
Отметьте положение «доктрины Трумэна».,образование ООН,оказание экономической помощи европейским государствам,поддержка политических режимов стран Центральной и Юго-Восточной Европы,установление мирных отношений между СССР и США,2,0
"Возвеличивание роли одного человека, приписывание ему определяющего влияния на ход исторического развития называется",культом личности,деспотизмом,тиранией,гениальностью,1,0
"Режиссер легендарных фильмов «Броненосец Потемкин», «Иван Грозный»",Л. Луков,И. Пырьев,Г. Александров,С. Эйзенштейн,4,0
В официальной советской прессе подверглась партийной критике опера,«Великая дружба» В. Мурадели,«Семь красавиц» К. Караева,«Медный всадник» Р. Глиэра,«Война и мир» С. Прокофьева ,1,0
"Председатель ВАСХНИЛ, развернувший кампанию травли ученых генетиков",Т. Лысенко,С. Михоэлс,С. Вавилов,М. Келдыш,1,0
Восстановление советской экономики после окончания Великой Отечественной войны началось,с сельского хозяйства,с тяжелой промышленности,с легкой промышленности,с добывающей промышленности,2,0
В 1948 г. произошел разрыв отношений между СССР и,Венгрией,Югославией,Китаем,Польшей,2,0
Отметьте неверную черту «холодной войны»,идеологическое противостояние между супердержавами,расширение политических и экономических контактов между СССР и западными странами,участие в военных конфликтах на стороне третьих стран,гонка вооружений в государствах — лидерах военных блоков,2,0
« Мухолюбами-человеконенавистниками» называли,кибернетиков,физиков,генетиков,географов ,3,0
Кто из названных поэтов является автором стихотворения «Враги сожгли родную хату...» ?,М. Исаковский,К. Симонов,М. Джалиль,А. Твардовский,1,0
Наибольшего размаха националистические движения в первые послевоенные годы достигли,"в Западной Украине, Западной Белоруссии, республиках Прибалтики",на Кавказе и в Крыму,в Сибири и на Дальнем Востоке,в РСФСР и Среднем Поволжье,1,0
Отметьте черту послевоенной жизни колхозника.,отсутствие пенсионного обеспечения по старости,8-часовой рабочий день,создание укрупненных личных подсобных хозяйств,введение фиксированной заработной платы ,1,0
В разработке четвертого пятилетнего плана принимал участие,Н.С. Хрущев,Н.А. Вознесенский,А.А. Кузнецов,Г.К. Жуков,2,0
Что из названного является одним из результатов денежной реформы 1947 г. в СССР?,увеличение заработной платы рабочим промышленности,снижение уровня жизни основной части населения,снижение объемов внешней торговли,увеличение ассигнований в сельское хозяйство,2,0
Что из названного относится к политике И.В. Сталина в 1945—1953 гг.?,создание многопартийной системы,реабилитация депортированных в годы войны народов,репрессии,создание бирж труда,3,0
В «формализме» и «преклонении перед Западом» обвинили творчество,Д. Шостаковича,И. Пырьева,С. Эйзенштейна,И. Дунаевского,1,0
В дискуссии «Экономические проблемы социализма в СССР» принял участие,И.В. Сталин,Н.С. Хрущев,С.И. Вавилов,А.А. Жданов,1,0
"Кто из названных скульпторов является создателем памятника Воину-Освободителю в Трептов-парке в Берлине, Родине-Матери в Волгограде?",С. Коненков,В. Мухина,Е. Вучетич,М. Аникушин ,3,0
 1953 г. Председателем Совета Министров СССР стал,Н.С. Хрущев,Н.А. Булганин,Г.М. Маленков,К.Е. Ворошилов,3,0
Что из названного было одним из результатов социальной политики Н.С. Хрущева?,создание МТС,введение пенсионного обеспечения колхозников,увеличение налога на подсобные хозяйства колхозников,уравнение зарплат рабочих и колхозников,2,0
Какое из названных событий произошло в 1955 г.?,нормализация отношений с Югославией,роспуск Коминформа,урегулирование Польского кризиса,Карибский кризис,1,0
Одной из причин смещения Н.С. Хрущева со всех государственных постов стало недовольство высших руководителей государства,его речью на XX съезде партии,отправкой в отставку В.М. Молотова и Г. М. Маленкова,разделением государственных и партийных органов на промышленные и сельскохозяйственные,его внешней политикой,3,0
В 50-е гг. XX в. были реабилитированы,репрессированные в 30-е гг. Военные,"репрессированные в 30-е гг. государственные деятели, имевшие альтернативные взгляды на построение социализма в СССР",бывшие военнопленные и заключенные,все политические заключенные,1,0
Какое из перечисленных событий относится к культурной - жизни СССР в 1953—1964 гг.?,публикация романа И. Эренбурга «Оттепель»,создание скульптуры «Рабочий и колхозница»,строительство Мавзолея на Красной площади,появление звукового кинематографа в СССР ,1,0
Какое из названных событий произошло 26 июня 1953 г.?,на заседании Совета министров был арестован Л.П. Берия,Н.С. Хрущев выступил с докладом «О культе личности и его последствиях»,Н.С. Хрущев был избран Председателем Совета Министров СССР,был осуществлен запуск первого искусственного спутника Земли,1,0
Что из названного характеризует экономическую программу Г.М. Маленкова?,первостепенное развитие тяжелой индустрии,приоритетное развитие легкой и пищевой промышленности,"поэтапная реализация курса, направленного на роспуск колхозов",увеличение масштабов финансирования военно-промышленного комплекса,2,0
"Н.С. Хрущев считал, что гарантией мира может стать",только жесткое противостояние социалистической и капиталистической систем,ядерное равновесие между СССР и США,сокращение ядерного оружия,создание военно-политических блоков,2,0
Какой из названных процессов начался в 1959 г.?,реорганизация МТС,освоение целины,создание совнархозов,снижение цен,1,0
Что из названного является одним из результатов XX съезда КПСС?,реорганизация системы ГУЛАГа,освобождение из лагерей всех политических заключенных,отмена политической цензуры,введение альтернативности выборов в Советы,1,0
"Советский писатель, автор романов «Разгром», «Молодая гвардия», председатель Союза писателей СССР",К. Симонов,А. Фадеев,К. Федин,Л. Леонов,2,0
Либерализация политической жизни страны во второй половине 50-х гг. Проявилась,в пересмотре основ социалистической системы,в пересмотре федеральных основ Союза ССР,в реабилитации жертв политических репрессий,в возможности критики марксизма-ленинизма,3,0
Что из названного является одним из результатов внутренней политики Н.С. Хрущева?,резкое снижение уровня жизни населения,увеличение поставок зерновых за границу,увеличение объемов жилищного строительства,подъем уровня жизни колхозников до уровня жизни горожан,3,0
Запуск первой в мире межконтинентальной баллистической ракеты СССР осуществил в,957 г.,1961 г.,1962 г.,1963 г.,1,0
Попытка сместить Н.С. Хрущева с поста первого секретаря ЦК КПСС в 1957 г. была предпринята,руководством Министерства обороны,членами Президиума ЦК КПСС,"старыми большевиками, необоснованно репрессированными в 30-е гг.",представителями научной и творческой интеллигенции,2,0
Спуск на воду первого в мире атомного ледокола «Ленин» состоялся в,954 г.,1957 г.,1961г.,1964 г.,2,0
"Писатель, подвергшийся гонениям за публикацию своего романа «Доктор Живаго» за границей",Б. Пастернак,М. Шолохов,И. Эренбург,И. Бродский,1,0
"Ученый, занимавшийся созданием ракет и ракетно-космических систем",С. Королев,И. Курчатов,А. Сахаров,Н. Семенов ,1,0
Какое событие из названных произошло раньше других?,ликвидация отраслевых министерств,избрание Н.С. Хрущева Первым секретарем КПСС,XX съезд КПСС,полет Ю. Гагарина в космос,2,0
Что из названного является чертой экономического курса Н.С. Хрущева?,повышение закупочных цен на сельскохозяйственную продукцию,разукрупнение колхозов,первостепенное развитие легкой промышленности,проведение конверсии,1,0
Сторонниками мирного сосуществования с капиталистическими странами в высшем руководстве СССР были,Г.М. Маленков и Н.С. Хрущев,Л.П. Берия и К.Е. Ворошилов,Г.М. Маленков и Н.А. Булганин,Г.К. Жуков и К.К. Рокоссовский,1,0
Что из названного было одной из причин событий в Новочеркасске?,начало процесса реабилитации,продовольственный кризис,реорганизация государственных органов управления экономикой,увеличение ассигнований на военно-промышленный комплекс,2,0
Что из названного относится к характеристике «оттепели» в политической жизни СССР во второй половине 50-х гг. XX в.?,отказ от соцреализма,снятие запретов на критику сталинских репрессий,снижение идеологической цензуры,разрешение многопартийности,2,0
Кто из названных ученых получил Нобелевскую премию за разработку теории жидкого гелия?,А. Туполев,Л. Ландау,И. Курчатов,С. Королев,2,0
"Писатель-фронтовик, проведший 8 лет в лагерях, повесть которого «Один день Ивана Денисовича» рассказала обществу о жизни советских заключенных",Б. Васильев,К. Симонов,Б. Пастернак,А. Солженицын,4,0
"Знаменитая кинокомедия режиссера Э. Рязанова, в которой был представлен образ директора дома культуры - бюрократа и глупца",«Весна»,«Карнавальная ночь»,«Весна на Заречной улице»,«Высота»,2,0
"«Кукурузная эпопея», с помощью которой пытались решить продовольственную проблему, началась",в первой половине 50-х гг.,во второй половине 50-х гг.,в начале 60-х гг.,во второй половине 60-х гг.,2,0
Какое из названных событий началось в 1959 г.?,реорганизация МТС,освоение целины,создание совнархозов,строительство Байкало-Амурской магистрали,1,0
Для хрущевской «оттепели» характерна,десталинизация,возникновение правозащитного движения,отмена монопольного положения КПСС в обществе,введение альтернативных выборов,1,0
Что из названного относится к причинам создания системы «коллективного руководства» после смерти И.В. Сталина?,стремление не допустить возвеличивания одного государственного деятеля,желание реорганизовать политическую систему на основе принципа разделения властей,требование общества прекратить практику «культа личности»,стремление повысить эффективность управления государственным аппаратом,1,0
"Направление в живописи, для которого были характерны поэтизация и романтическая героизация трудовых буден, выявление в образах современников энергически-волевого начала, отказ от второстепенных деталей",сюрреализм,«суровый стиль»,концептуализм,монументализм,2,0
Какое из названных положений характеризует Конституцию 1977 г.?,в СССР построено развитое социалистическое общество,"введено положение о гражданах, лишенных гражданских прав",в СССР осуществлен переход от капитализма к социализму,закреплена многопартийность,1,0
Идею «совершенствования развитого социализма» выдвинул,Л.И. Брежнев,Ю.В. Андропов,К.У. Черненко,В.М. Молотов,1,0
В экономике СССР ведущую роль играл,легкая промышленность,аграрный сектор,военно-промышленный комплекс,сфера услуг,3,0
ЧТО ИЗ названного ОТНОСИТСЯ К результатам внешнеполитического курса Л.И. Брежнева?,ухудшение отношений с Югославией,роспуск Совета экономической взаимопомощи,подписание партнерской программы с НАТО,подписание Хельсинкских соглашений по безопасности и сотрудничеству в Европе,4,0
Правозащитников в СССР называли,космополитами,диссидентами,репатриантами,антифашистами,2,0
Что из названного относится к причинам неудачи экономической реформы 1965 г.?,неприятие рабочими принципа материальной заинтересованности в труде,убыточность большинства предприятий,сущность плановой экономики,неумение распорядиться фондом материального поощрения,3,0
Самым популярным сочинителем и исполнителем своих песен в период «магнитофонной революции» был,Б.Ш. Окуджава,В.С. Высоцкий,А.И. Райкин,А. Галич ,2,0
Приз Американской киноакадемии «Оскар» получил советский фильм,«Семнадцать мгновений весны»,«Война и мир»,«Место встречи изменить нельзя»,«Летят журавли»,2,0
Концепцию «развитого социализма» называли идеологией,«оттепели»,«застоя»,«перестройки»,«шетидесятников»,2,0
Что из названного характеризует экономическую политику Л.И. Брежнева?,увеличение капиталовложений в сельское хозяйство,приоритетное развитие оборонной промышленности,интенсификация жилищного строительства,разработка целинных и залежных земель,2,0
Какое из названных положений относится к Конституции 1977 г.?,в СССР создана новая социальная общность — советский народ,в СССР построен коммунизм,закреплено положение об обязательности альтернативных выборов в Советы народных депутатов,высшим органом власти является Съезд народных депутатов,1,0
"Отметьте, о ком идет речь. Ученый, один из создателей водородной бомбы; трижды Герой Социалистического труда. Активный общественный деятель: выступал с требованиями отмены смертной казни, реабилитации народов, подвергшихся депортации. В 1975 г. ему была присуждена Нобелевская премия мира. Резко осудил введение советских войск в Афганистан.",А. Сахаров,И. Тамм,Л. Ландау,Н. Семенов,1,0
Какое из названных внешнеполитических событий оказало сильное влияние на движение правозащитников в СССР?,подписание договора о дружбе и сотрудничестве с Египтом,визит президента Р. Никсона в Москву,подписание Хельсинкских соглашений,развитие неосталинизма,3,0
ЧТО ИЗ названного характеризует конец 60-х — начало 70-х годов?,демократизация общественной жизни,возвеличение Л.И. Брежнева,новый виток репрессий,критика бывших союзников по антигитлеровской коалиции,2,0
"Продовольственная программа, принятая в 1982 г., предполагала",создать слой цивилизованных кооператоров,ввести частную собственность на землю,повысить производительность труда и решить продовольственный вопрос к 1990 г.,вернуться к опыту нэпа ,3,0
Кто из названных писателей является автором трилогии «Живые и мертвые»?,К. Симонов,Ю. Трифонов,Б. Васильев,В. Распутин,1,0
Что из названного характеризует художественную жизнь в СССР в 60-е-80-е гг.?,ослабление идеологического контроля,внедрение системы государственных заказов,"поощрение контактов с деятелями культуры, эмигрировавшими из СССР в предшествующие годы",поощрение художников-авангардистов,2,0
Что из названного характеризует политическую жизнь СССР во второй половине 60-х — начале 80-х гг.?,развитие диссидентского движения,введение принципа периодической сменяемости партийных руководителей,начало процесса десталинизации,демократизация общественной жизни,1,0
Какое имя из названных связано с активным правозащитным движением?,Ю. Бондарев,А. Герман,Н. Горбаневская,Г. Вишневская,3,0
Какое событие из названных произошло раньше других?,конфликты с Китаем из-за о. Даманский,подписание договора между СССР и США об ограничении стратегических наступательных вооружений (ОСВ-2),«Пражская весна»,выход Албании из ОВД,3,0
1966—1970 гг. —это годы,шестой пятилетки,седьмой пятилетки,восьмой пятилетки,девятой пятилетки,3,0
Использование служебного положения в целях личного обогащения называется,экспроприацией,коррупцией,монополизацией,коалицией,2,0
"Процесс сближения, ведущий к большей целостности, единству, называется",коалицией,модернизацией,ассимиляцией,интеграцией ,4,0
"Отметьте, о ком идет речь. Поэт, осужденный за тунеядство в СССР; в 1972 г. эмигрировал в США. В 1987 г. получил Нобелевскую премию в области литературы.",В. Войнович,И. Бродский,В. Ерофеев,Б. Окуджава,2,0
"Режиссер знаменитых фильмов «Солярис», «Зеркало», «Ностальгия»",А. Тарковский,С. Бондарчук,Л. Быков,В. Меньшов,1,0
"Отметьте прославленных театральных режиссеров, составивших эпоху в развитии театра.",В. Шукшин и Л. Гайдай,М. Ростропович и Д. Ойстрах,Г. Товстоногов и Ю. Любимов,С. Лемешев и И. Козловский,3,0
Что из названного характеризует политическую жизнь СССР во второй половине 60-х — начале 80-х гг.?,введение возрастных ограничений для занятий партийных должностей,увеличение льгот и привилегий государственным и партийным чиновникам,развитие неосталинизма,отмена идеологической цензуры,3,0
Какое из названных событий произошло в 1975 г.?,заговор офицеров Балтийского флота «Союза борьбы за демократические права»,выступление корабля «Сторожевой»,демонстрация в защиту осужденных писателей Ю. Даниэля и А. Сенявского,восстание политических заключенных в исправительно- трудовых колониях,2,0
«Доктрина ограниченного суверенитета» так называемых социалистических стран была сформулирована,Г.М. Маленковым,Л.И. Брежневым,К.У. Черненко,Ю.В. Андроповым,2,0
Какое из названных событий произошло в 1980 г.?,введение в США эмбарго на поставки зерна в СССР,окончание войны во Вьетнаме,начало арабо-израильского конфликта,введение войск в Афганистан,1,0
В 70-е гг. СССР поддерживал дружественные отношения,с Индией,с Китаем,с Израилем,с Афганистаном,1,0
Термин «развитой социализм» появился,"в 30-е годы, после принятия Конституции «победившего социализма»","в конце 40-х годов, после появления социалистических государств","в 60-е годы, после принятия третьей программы КПСС","в 70-е годы, в связи с трудностями внутреннего развития ",4,0
"Какое из перечисленных событий, явлений научно-технического развития относится к 1964—1985 гг.?",создание водородной бомбы,появление нового направления в науке — квантовой физики,появление всемирной сети Интернет,строительство первого в мире космического корабля,2,0
Попытка внедрения хозрасчета в аграрном секторе была предпринята,А.Н. Косыгиным,К.У. Черненко,А. Микояном,А.А. Громыко,1,0
"Отметьте, о ком идет речь. Участник Великой Отечественной войны: прошел путь от Орла до Восточной Пруссии. Был награжден орденами Отечественной войны и Красной Звезды. Писатель, автор книг, посвященных жизни заключенных в советских лагерях. В 1969 г. исключен из Союза писателей СССР. В 1970 г. удостоен Нобелевской премии по литературе. В 1974 г. был арестован, обвинен в «измене родине», лишен советского гражданства и без суда выдворен из страны.",Б. Пастернак,И. Бродский,А. Солженицын,А. Галич,3,0
Какое из названных положений характеризует концепцию «развитого социализма»?,окончательное решение национального вопроса в СССР,констатация факта нарастания борьбы с внутренними врагами социалистического строительства,построение коммунистического общества,снижение преступности,1,0
В 70—80-е гг. из СССР эмигрировали,А. Тарковский и Г. Вишневская,А. Сахаров и И. Бродский,А. Вертинский и А. Галич,Б. Пастернак и Е. Евтушенко,1,0
Какое из названных событий произошло в 1979 г.?,Карибский кризис,«Пражская весна»,ввод советских войск в Афганистан,Хельсинкское совещание по безопасности и сотрудничеству в Европе,3,0
Какое внешнеполитическое событие из названных оказало сильное влияние на диссидентское движение в СССР?,конфликты на советско-китайской границе,встреча Л .И. Брежнева с президентом США Р. Никсоном,ввод советских войск в Чехословакию,помощь СССР Вьетнаму в конфликте с Китаем ,3,0
Министром иностранных дел в «брежневский» период был,В.М. Молотов,А.А. Громыко,Ю.В. Андропов,А.Н. Косыгин,2,0
"Какое из перечисленных событий, явлений научно-технического развития относится к 1964—1985 гг.?",создание атомной бомбы,создание первой в мире ядерной установки,появление новой науки — генетики,строительство первого в мире атомного ледокола,2,0
"Ю. Галансков, А. Гинзбург, В. Буковский, П. Якир и В. Красин —- представители",музыкальной интеллигенции,театральной режиссуры,диссидентского движения,оперного искусства,3,0
"За книги «Малая земля», «Целина» и «Возрождение» Ленинской премии по литературе был удостоен",Н.С. Хрущев,Г.К. Жуков,Л.И. Брежнев,В.М. Шукшин,3,0
Писателями-деревенщиками называли,"В.Аксенова, А. Солженицына","Ф. Абрамова, В. Распутина","А. Галича, Ю. Кима","Ю.Бондарева, Б. Васильева",2,0
Какое событие из названных произошло в годы «перестройки » ?,развернулось диссидентское движение,отменена 6-я статья Конституции СССР о руководящей роли КПСС,заявлено о переходе к строительству коммунизма,провозглашена политика «ограниченного суверенитета» по отношению к социалистическим государствам,2,0
Что из названного относится к результатам экономической политики перестройки?,СССР вышел на одно из первых мест в мире по производству товаров на душу населения,сформирован рынок,сокращение производства в промышленности,укрепление денежной системы,3,0
Что из названного является одним из результатов августовского кризиса 1991 г.?,запрещение КПСС,введение поста Президента РСФСР,уничтожение Советов,усиление авторитета Президента СССР ,1,0
Какое из названных событий произошло в 1989 г.?,рухнула Берлинская стена,состоялась встреча М.С. Горбачева и Р. Рейгана в Рейкъявике,заключен Договор о сокращении и ограничении стратегических наступательных вооружений (СНВ),ГКЧП,1,0
Переход государственной собственности в частную называется,     конверсией,приватизацией,монополизацией,стагнацией,2,0
Какая позиция из названных характеризует научнокультурную жизнь в России в 1990-е гг.?,плюрализм,увеличение капиталовложений в образование,приоритетное развитие космических программ,усиление политической цензуры,1,0
"Политическое и идеологическое течение, отстаивающее свободу предпринимательства, парламентский строй, демократические права и свободы личности",консерватизм,либерализм,тоталитаризм,плюрализм,2,0
Отметьте одну из целей участников ГКЧП.,стимулировать развитие рыночных отношений в СССР,укрепить суверенитет РСФСР,расширить демократические свободы в обществе,укрепить положение КПСС в государстве,4,0
Инициатором жесткой борьбы с коррупцией среди государственных чиновников стал,Л.И. Брежнев,К.У. Черненко,Ю.В. Андропов,Н.С. Хрущев,3,0
Что было одной из причин разработки программы «500 дней»?,необходимость ликвидировать диспропорции в экономике,стремление сохранить плановую систему хозяйствования,желание привлечь иностранные инвестиции,необходимость ликвидации последствий дефолта,1,0
Какое положение из названных характеризует «новое политическое мышление»?,призыв к мирному сосуществованию капиталистических и социалистических стран,стремление установить ядерный паритет с США,ведение политики «умиротворения агрессоров»,осуществление политики «ограниченного суверенитета»,1,0
Какое положение из названных характеризует «новое политическое мышление»?,Приоритет общечеловеческих ценностей над классовыми и идеологическими,необходимость борьбы с военной угрозой,«ограниченный суверенитет» для соцстран,целевая материальная помощь странам «третьего мира»,1,0
Что из названного является одной из причин распада СССР?,политика перестройки,выступление участников ГКЧП,межнациональные конфликты,крах командно-административной системы,4,0
"Отметьте одну из причин, обусловивших начало перестройки.",неспособность руководства страны реализовать достижения нового этапа НТР,нарастание противоречий между экономическими потребностями страны и существующей советско-социалистической системой,появление коррупционеров и мафиозных групп,движение диссидентов,2,0
"Отметьте, о ком идет речь. Государственный деятель, в 1990 г. на I Съезде народных депутатов РСФСР избран Председателем Верховного Совета России. В дни августовского путча — непримиримый противник ГКЧП. В декабре 1991 г. подписал в Минске Соглашение об образовании Содружества Независимых Государств.",Ю.М. Лужков,Б.Н. Ельцин,Е.Т. Гайдар,Р.И. Хасбулатов,2,0
Кто из названных лиц является сподвижником Б.Н. Ельцина в 1990—1991 гг.?,Е. Лигачев,Г. Янаев,Н. Рыжков,Е. Гайдар,4,0
Какие из перечисленных мероприятий были осуществлены М.С. Горбачевым?,создание Государственной Думы,введение постов губернаторов,введение системы выборов руководителей предприятий и учреждений,утверждение программы построения коммунизма,3,0
"Отметьте одну из причин «перестройки социализма», начатой М.С. Горбачевым",проигрыш СССР в гонке вооружений,массовые забастовки шахтеров и рабочих промышленности,нарастание кризисных явлений в экономике,рост цен на сельскохозяйственные продукты,3,0
Что из названного является одной из причин политического кризиса 1991 г.?,недовольство ряда высших государственных деятелей демократическими процессами,стремление автономных республик к выходу из состава РСФСР,коррупция в высших эшелонах власти,военные действия в Чеченской Республике,1,0
Автор трактата «Как нам обустроить Россию»,А. Сахаров,А. Солжениц,Д. Лихачев,Д. Гранин,2,0
Какое из перечисленных событий произошло в 1985— 1991 гг.?,разрешена индивидуальная предпринимательская деятельность,разработан «Моральный кодекс строителя коммунизма»,распущены колхозы,начато создание совхозов,1,0
Договор о создании СНГ был подписан 8 декабря 1991 г. между,"РСФСР, Казахстаном и Белоруссией","РСФСР, Украиной и Белоруссией","РСФСР, Татарстаном и Украиной","РСФСР, Грузией и Азербайджаном ",2,0
